ProblemID,pCorrect,pPredicted,tp,tn,fp,fn,accuracy,precision,recall,f1,kappa
backwardsCombine,0.75,1,0.75,0,0.25,0,0.75,0.75,1,0.857142857,0
canDrinkAlcohol,0.344827586,0,0,0.655172414,0,0.344827586,0.655172414,NA,0,NA,0
convertToDegrees,0.363636364,0,0,0.636363636,0,0.363636364,0.636363636,NA,0,NA,0
doubleX,0.953846154,1,0.953846154,0,0.046153846,0,0.953846154,0.953846154,1,0.976377953,0
findRoot,0.463414634,0.170731707,0.024390244,0.390243902,0.146341463,0.43902439,0.414634146,0.142857143,0.052631579,0.076923077,-0.23
firstAndLast,0.409090909,0,0,0.590909091,0,0.409090909,0.590909091,NA,0,NA,2.71E-16
hasTwoDigits,0.387096774,0,0,0.612903226,0,0.387096774,0.612903226,NA,0,NA,0
helloWorld,0.520547945,0.02739726,0.02739726,0.479452055,0,0.493150685,0.506849315,1,0.052631579,0.1,0.050578035
howManyEggCartons,0.243902439,0,0,0.756097561,0,0.243902439,0.756097561,NA,0,NA,0
intToFloat,0.888888889,1,0.888888889,0,0.111111111,0,0.888888889,0.888888889,1,0.941176471,0
isEvenPositiveInt,0.166666667,0,0,0.833333333,0,0.166666667,0.833333333,NA,0,NA,0
isPunctuation,0.111111111,0,0,0.888888889,0,0.111111111,0.888888889,NA,0,NA,0
kthDigit,0.162162162,0,0,0.837837838,0,0.162162162,0.837837838,NA,0,NA,0
leftoverCandy,0.760869565,1,0.760869565,0,0.239130435,0,0.760869565,0.760869565,1,0.864197531,0
nearestBusStop,0.151515152,0,0,0.848484848,0,0.151515152,0.848484848,NA,0,NA,0
oneToN,0.2,0,0,0.8,0,0.2,0.8,NA,0,NA,0
overNineThousand,0.677419355,0.935483871,0.612903226,0,0.322580645,0.064516129,0.612903226,0.655172414,0.904761905,0.76,-0.120481928
raiseToPower,0.879310345,1,0.879310345,0,0.120689655,0,0.879310345,0.879310345,1,0.935779817,0
singlePigLatin,0.363636364,0,0,0.636363636,0,0.363636364,0.636363636,NA,0,NA,0
